CODE	EN	Code-8digits
39222000-4	Catering supplies	39222000
39222100-5	Disposable catering supplies	39222100
39222110-8	Disposable cutlery and plates	39222110
39222120-1	Disposable cups	39222120
39222200-6	Food trays	39222200
39223000-1	Spoons, forks	39223000
39223100-2	Spoons	39223100
39223200-3	Forks	39223200
39224000-8	Brooms and brushes and other articles of various types	39224000
39224100-9	Brooms	39224100
39224200-0	Brushes	39224200
39224210-3	Painters' brushes	39224210
39224300-1	Brooms and brushes and other articles for household cleaning	39224300
39224310-4	Toilet brushes	39224310
39224320-7	Sponges	39224320
39224330-0	Buckets	39224330
39224340-3	Bins	39224340
39224350-6	Dustpans	39224350
39225000-5	Lighters, articles of combustible materials, pyrotechnics, matches and liquid or liquefied gas fuels	39225000
39225100-6	Cigarette lighters	39225100
39225200-7	Pyrophoric alloys	39225200
39225300-8	Matches	39225300
39225400-9	Gas fuels for lighters	39225400
39225500-0	Pyrotechnics	39225500
39225600-1	Candles	39225600
39225700-2	Bottles, jars and phials	39225700
39225710-5	Bottles	39225710
39225720-8	Jars	39225720
39225730-1	Phials	39225730
39226000-2	Carboys, bottle cases, flasks and bobbins	39226000
39226100-3	Bottle cases	39226100
39226200-4	Carboys and flasks	39226200
39226210-7	Carboys	39226210
39226220-0	Flasks	39226220
39226300-5	Spools or bobbins	39226300
39227000-9	Sewing and knitting needles, and thimbles	39227000
39227100-0	Sewing needles or knitting needles	39227100
39227110-3	Sewing needles	39227110
39227120-6	Knitting needles	39227120
39227200-1	Thimbles	39227200
39230000-3	Special-purpose product	39230000
39234000-1	Compost boxes	39234000
39235000-8	Tokens	39235000
39236000-5	Spray booths	39236000
39237000-2	Snow poles	39237000
39240000-6	Cutlery	39240000
39241000-3	Knives and scissors	39241000
39241100-4	Knives	39241100
39241110-7	Table knives	39241110
39241120-0	Cooks' knives	39241120
39241130-3	Utility knives	39241130
39241200-5	Scissors	39241200
39254000-7	Horology	39254000
39254100-8	Clocks	39254100
39254110-1	Alarm clocks	39254110
39254120-4	Wall clocks	39254120
39254130-7	Glass for clocks	39254130
39260000-2	Delivery trays and desk equipment	39260000
39261000-9	Delivery trays	39261000
39263000-3	Desk equipment	39263000
39263100-4	Desk sets	39263100
39264000-0	Fittings for loose-leaf binders or files	39264000
39265000-7	Hooks and eyes	39265000
39270000-5	Religious articles	39270000
39290000-1	Miscellaneous furnishing	39290000
39291000-8	Laundry supplies	39291000
39292000-5	School slates or boards with writing or drawing surfaces or instruments	39292000
39292100-6	Blackboards	39292100
39292110-9	Erasers for blackboards	39292110
39292200-7	Writing slates	39292200
39292300-8	Drawing instruments	39292300
39292400-9	Writing instruments	39292400
39292500-0	Rulers	39292500
39293000-2	Artificial products	39293000
39293100-3	Artificial fruit	39293100
39293200-4	Artificial flowers	39293200
39293300-5	Artificial grass	39293300
39293400-6	Artificial lawn	39293400
39293500-7	Imitation jewellery	39293500
39294000-9	Apparatus and equipment designed for demonstrational purposes	39294000
39294100-0	Information and promotion products	39294100
39295000-6	Umbrellas and sunshades; walking sticks and seat sticks	39295000
39295100-7	Sunshades	39295100
39295200-8	Umbrellas	39295200
39295300-9	Seat sticks	39295300
39295400-0	Walking sticks	39295400
39295500-1	Parts, trimmings and accessories of umbrellas, sunshades, walking sticks and similar articles	39295500
39296000-3	Funeral supplies	39296000
39296100-4	Coffins	39296100
39297000-0	Barracks supplies	39297000
39298000-7	Statuettes, ornaments; photograph or picture frames, and mirrors	39298000
39298100-8	Photograph frames	39298100
39298200-9	Picture frames	39298200
39298300-0	Flower bowls	39298300
39298400-1	Statuettes	39298400
39298500-2	Ornaments	39298500
39298600-3	Globes	39298600
39298700-4	Trophies	39298700
39298800-5	Aquariums	39298800
39298900-6	Miscellaneous decoration items	39298900
39298910-9	Christmas tree	39298910
39299000-4	Glassware	39299000
39299100-5	Glass ampoules	39299100
39299200-6	Safety glass	39299200
39299300-7	Glass mirrors	39299300
39300000-5	Miscellaneous equipment	39300000
39310000-8	Catering equipment	39310000
39311000-5	Light catering equipment	39311000
39312000-2	Food-preparation equipment	39312000
39312100-3	Meat slicers	39312100
39312200-4	Canteen equipment	39312200
39313000-9	Hotel equipment	39313000
39314000-6	Industrial kitchen equipment	39314000
39315000-3	Restaurant equipment	39315000
39330000-4	Disinfection equipment	39330000
39340000-7	Gas network equipment	39340000
39341000-4	Gas pressure equipment	39341000
39350000-0	Sewerage works equipment	39350000
39360000-3	Sealing equipment	39360000
39370000-6	Water installations	39370000
39500000-7	Textile articles	39500000
39510000-0	Textile household articles	39510000
39511000-7	Blankets and travelling rugs	39511000
39511100-8	Blankets	39511100
39511200-9	Travelling rugs	39511200
39512000-4	Bed linen	39512000
39512100-5	Sheets	39512100
39512200-6	Duvet covers	39512200
39512300-7	Mattress covers	39512300
39512400-8	Eiderdowns	39512400
39512500-9	Pillowcases	39512500
39512600-0	Bolstercases	39512600
39513000-1	Table linen	39513000
39513100-2	Tablecloths	39513100
39513200-3	Table napkins	39513200
39514000-8	Toilet and kitchen linen	39514000
39514100-9	Towels	39514100
39514200-0	Tea towels	39514200
39514300-1	Roller towels	39514300
39514400-2	Automatic towel dispensers	39514400
39514500-3	Face cloths	39514500
39515000-5	Curtains, drapes, valances and textile blinds	39515000
39515100-6	Curtains	39515100
39515110-9	Smoke curtains	39515110
39515200-7	Drapes	39515200
39515300-8	Valances	39515300
39515400-9	Blinds	39515400
39515410-2	Interior blinds	39515410
39515420-5	Textile blinds	39515420
39515430-8	Venetian blinds	39515430
39515440-1	Vertical blinds	39515440
39516000-2	Furnishing articles	39516000
39516100-3	Soft furnishings	39516100
39516110-6	Cushions	39516110
39516120-9	Pillows	39516120
39518000-6	Hospital linen	39518000
39518100-7	Operating-theatre drapes	39518100
39518200-8	Operating-theatre sheets	39518200
39520000-3	Made-up textile articles	39520000
39522000-7	Tarpaulins, sails for boats, sailboards or land craft, awnings, sunblinds, tents and camping goods	39522000
39522100-8	Tarpaulins, awnings and sunblinds	39522100
39522110-1	Tarpaulins	39522110
39522120-4	Awnings	39522120
39522130-7	Sunblinds	39522130
39522200-9	Camouflage covers	39522200
39522400-1	Sails	39522400
39522500-2	Textile camping goods	39522500
39522510-5	Pneumatic mattresses	39522510
39522520-8	Camp beds	39522520
39522530-1	Tents	39522530
39522540-4	Sleeping bags	39522540
39522541-1	Sleeping bags filled with feathers or down	39522541
39523000-4	Parachutes	39523000
39523100-5	Dirigible parachutes	39523100
39523200-6	Rotochutes	39523200
39525000-8	Miscellaneous manufactured textile articles	39525000
39525100-9	Dusters	39525100
39525200-0	Filter elements of cloth	39525200
39525300-1	Life jackets	39525300
39525400-2	Fire blankets	39525400
39525500-3	Mosquito nets	39525500
39525600-4	Dishcloths	39525600
39525700-5	Life belts	39525700
39525800-6	Cleaning cloths	39525800
39525810-9	Polishing cloths	39525810
39530000-6	Carpets, mats and rugs	39530000
39531000-3	Carpets	39531000
39531100-4	Knotted carpeting	39531100
39531200-5	Woven carpeting	39531200
39531300-6	Tufted carpeting	39531300
39531310-9	Carpet tiles	39531310
39531400-7	Carpeting	39531400
39532000-0	Mats	39532000
39533000-7	Rugs	39533000
39534000-4	Industrial carpeting	39534000
39540000-9	Miscellaneous cordage, rope, twine and netting	39540000
39541000-6	Cordage, rope, twine and netting	39541000
39541100-7	Twine, cordage and rope	39541100
39541110-0	Rope	39541110
39541120-3	Cordage	39541120
39541130-6	String	39541130
39541140-9	Twine	39541140
39541200-8	Textile nets	39541200
39541210-1	Knotted nets	39541210
39541220-4	Slings	39541220
39542000-3	Rags	39542000
39550000-2	Non-woven articles	39550000
39560000-5	Miscellaneous textile articles	39560000
39561000-2	Tulle, lace, narrow-woven fabrics, trimmings and embroidery	39561000
39561100-3	Narrow-woven fabrics; trimmings	39561100
39561110-6	Ribbon	39561110
39561120-9	Textile tape	39561120
39561130-2	Textile labels and badges	39561130
39561131-9	Textile labels	39561131
39561132-6	Textile badges	39561132
39561133-3	Insignia	39561133
39561140-5	Ornamental trimmings	39561140
39561141-2	Braids	39561141
39561142-9	Epaulettes	39561142
39561200-4	Net fabrics	39561200
39562000-9	Felt	39562000
39563000-6	Textile wadding, yarns, fabrics and articles for technical uses	39563000
39563100-7	Textile wadding	39563100
39563200-8	Metallised yarn	39563200
39563300-9	Woven fabrics of metal thread	39563300
39563400-0	Impregnated, coated or covered textile fabrics	39563400
39563500-1	Textile articles for technical uses	39563500
39563510-4	Textile hosepiping	39563510
39563520-7	Textile conveyor belts	39563520
39563530-0	Ventilation ducting	39563530
39563600-2	Quilted textile products	39563600
39700000-9	Domestic appliances	39700000
39710000-2	Electrical domestic appliances	39710000
39711000-9	Electrical domestic appliances for use with foodstuffs	39711000
39711100-0	Refrigerators and freezers	39711100
39711110-3	Refrigerator-freezers	39711110
39711120-6	Freezers	39711120
39711121-3	Chest-type freezers	39711121
39711122-0	Household freezers	39711122
39711123-7	Upright-type freezers	39711123
39711124-4	Industrial freezers	39711124
39711130-9	Refrigerators	39711130
39711200-1	Food processors	39711200
39711210-4	Food blenders	39711210
39711211-1	Food mixers	39711211
39711300-2	Electrothermic appliances	39711300
39711310-5	Electric coffee makers	39711310
39711320-8	Electric tea makers	39711320
39711330-1	Electric toasters	39711330
39711340-4	Plate warmers	39711340
39711350-7	Waffle irons	39711350
39711360-0	Ovens	39711360
39711361-7	Electric ovens	39711361
39711362-4	Microwave ovens	39711362
39711400-3	Roasters, hobs, hotplates and boiling rings	39711400
39711410-6	Roasters	39711410
39711420-9	Hobs	39711420
39711430-2	Hotplates	39711430
39711440-5	Boiling rings	39711440
39711500-4	Can openers	39711500
39712000-6	Electrical domestic appliances for use with the human body	39712000
39712100-7	Hair clippers	39712100
39712200-8	Hairdressing appliances	39712200
39712210-1	Hair dryers	39712210
39712300-9	Hand-drying apparatus	39712300
39713000-3	Electrical domestic appliances for cleaning; smoothing irons	39713000
39713100-4	Dishwashing machines	39713100
39713200-5	Clothes-washing and drying machines	39713200
39713210-8	Washer/dryers	39713210
39713211-5	Drying and pressing unit	39713211
39713300-6	Rubbish compactors	39713300
39713400-7	Floor-maintenance machines	39713400
39713410-0	Floor-cleaning machines	39713410
39713420-3	Floor polishers	39713420
39713430-6	Vacuum cleaners	39713430
39713431-3	Accessories for vacuum cleaners	39713431
39713500-8	Electric irons	39713500
39713510-1	Steam irons	39713510
39714000-0	Ventilating or recycling hoods	39714000
39714100-1	Ventilators	39714100
39714110-4	Extraction ventilators	39714110
39715000-7	Water heaters and heating for buildings; plumbing equipment	39715000
39715100-8	Electric instantaneous or storage water heaters and immersion heaters	39715100
39715200-9	Heating equipment	39715200
39715210-2	Central-heating equipment	39715210
39715220-5	Electric heating resistors	39715220
39715230-8	Electric soil-heating apparatus	39715230
39715240-1	Electric space-heating apparatus	39715240
39715300-0	Plumbing equipment	39715300
39716000-4	Parts of electrical domestic appliances	39716000
39717000-1	Fans and air-conditioning appliances	39717000
39717100-2	Fans	39717100
39717200-3	Air-conditioning appliances	39717200
39720000-5	Non-electric domestic appliances	39720000
39721000-2	Domestic cooking or heating equipment	39721000
39721100-3	Domestic cooking appliances	39721100
39721200-4	Gas refrigerators	39721200
39721300-5	Non-electric air heaters or hot air-distributors	39721300
39721310-8	Air heaters	39721310
39721320-1	Air dryers	39721320
39721321-8	Compressed-air dryers	39721321
39721400-6	Instantaneous or storage non-electric water heaters	39721400
39721410-9	Gas appliances	39721410
39721411-6	Gas heaters	39721411
39722000-9	Parts of stoves, cookers, plate warmers and domestic appliances	39722000
39722100-0	Parts of stoves	39722100
39722200-1	Parts of cookers	39722200
39722300-2	Parts of plate warmers	39722300
39800000-0	Cleaning and polishing products	39800000
39810000-3	Odoriferous preparations and waxes	39810000
39811000-0	Preparations for perfuming or deodorising rooms	39811000
39811100-1	Air freshener	39811100
39811110-4	Air freshener dispensers	39811110
39811200-2	Air sanitisers	39811200
39811300-3	Deodorisers	39811300
39812000-7	Polishes and creams	39812000
39812100-8	Floor polishes	39812100
39812200-9	Shoe polishes	39812200
39812300-0	Polishing waxes	39812300
39812400-1	Sweeping compounds	39812400
39812500-2	Sealants	39812500
39813000-4	Scouring pastes and powders	39813000
39820000-6	Organic surface-active agents	39820000
39821000-3	Ammonia cleaners	39821000
39822000-0	Caustic cleaners	39822000
39830000-9	Cleaning products	39830000
39831000-6	Washing preparations	39831000
39831100-7	Oil dispersant	39831100
39831200-8	Detergents	39831200
39831210-1	Dishwasher detergents	39831210
39831220-4	Degreasing agents	39831220
39831230-7	Grease digesters	39831230
39831240-0	Cleaning compounds	39831240
39831250-3	Rinsing solutions	39831250
39831300-9	Floor cleaners	39831300
39831400-0	Screen cleaners	39831400
39831500-1	Automotive cleaners	39831500
39831600-2	Toilet cleaners	39831600
39831700-3	Automatic soap dispensers	39831700
39832000-3	Dishwashing products	39832000
39832100-4	Dishwashing powder	39832100
39833000-0	Anti-dust products	39833000
39834000-7	Jewellery cleaning solutions	39834000
41000000-9	Collected and purified water	41000000
41100000-0	Natural water	41100000
41110000-3	Drinking water	41110000
41120000-6	Non-drinking water	41120000
42000000-6	Industrial machinery	42000000
42100000-0	Machinery for the production and use of mechanical power	42100000
42110000-3	Turbines and motors	42110000
42111000-0	Motors	42111000
42111100-1	Outboard motors for marine propulsion	42111100
42112000-7	Turbine installations	42112000
42112100-8	Steam turbines	42112100
42112200-9	Hydraulic turbines	42112200
42112210-2	Water wheels	42112210
42112300-0	Gas turbines	42112300
42112400-1	Turbine equipment	42112400
42112410-4	Turbine instruments	42112410
42113000-4	Parts of turbines	42113000
42113100-5	Parts of steam turbines	42113100
42113110-8	Base plates	42113110
42113120-1	Casings	42113120
42113130-4	Condenser air-cooling systems	42113130
42113150-0	Lubricating oil systems	42113150
42113160-3	Moisture separators	42113160
42113161-0	Dehumidifiers	42113161
42113170-6	Rotary equipment	42113170
42113171-3	Rotors	42113171
42113172-0	Blades	42113172
42113190-2	Turning gear	42113190
42113200-6	Parts of hydraulic turbines	42113200
42113300-7	Parts of gas turbines	42113300
42113310-0	Air-inlet systems	42113310
42113320-3	Gas-injection module	42113320
42113390-4	Fuel-gas systems	42113390
42113400-8	Parts of water wheels	42113400
42120000-6	Pumps and compressors	42120000
42121000-3	Hydraulic or pneumatic power engines and motors	42121000
42121100-4	Hydraulic or pneumatic cylinders	42121100
42121200-5	Hydraulic power engines	42121200
42121300-6	Pneumatic power engines	42121300
42121400-7	Hydraulic power motors	42121400
42121500-8	Pneumatic power motors	42121500
42122000-0	Pumps	42122000
42122100-1	Pumps for liquids	42122100
42122110-4	Pumps for firefighting	42122110
42122120-7	Helicopter refuelling package	42122120
42122130-0	Water pumps	42122130
42122160-9	Cooling pumps	42122160
42122161-6	Cooling-water pumps	42122161
42122170-2	Lubricating pumps	42122170
42122180-5	Fuel pumps	42122180
42122190-8	Concrete pumps	42122190
42122200-2	Reciprocating positive-displacement pumps for liquids	42122200
42122210-5	Hydraulic power packs	42122210
42122220-8	Sewage pumps	42122220
42122230-1	Dosing pumps	42122230
42122300-3	Pressure boosters for liquids	42122300
42122400-4	Centrifugal pumps and liquid elevators	42122400
42122410-7	Pumps for medical use	42122410
42122411-4	Nutritional pumps	42122411
42122419-0	Perfusion pumps	42122419
42122420-0	Liquid elevators	42122420
42122430-3	Centrifugal pumps	42122430
42122440-6	Rotary pumps	42122440
42122450-9	Vacuum pumps	42122450
42122460-2	Air pumps	42122460
42122480-8	Impeller pumps	42122480
42122500-5	Laboratory pumps and accessories	42122500
42122510-8	Peristaltic pumps	42122510
42123000-7	Compressors	42123000
42123100-8	Gas compressors	42123100
42123200-9	Rotary compressors	42123200
42123300-0	Compressors for refrigerating equipment	42123300
42123400-1	Air compressors	42123400
42123410-4	Mounted air compressors	42123410
42123500-2	Turbo-compressors	42123500
42123600-3	Reciprocating displacement compressors	42123600
42123610-6	Compressed-air package	42123610
42123700-4	Centrifugal compressors	42123700
42123800-5	Compressors for use in civil aircraft	42123800
42124000-4	Parts of pumps, compressors, engines or motors	42124000
42124100-5	Parts of engines or motors	42124100
42124130-4	Parts of pneumatic engines	42124130
42124150-0	Parts of hydraulic power engines or motors	42124150
42124170-6	Parts of reaction engines	42124170
42124200-6	Parts of pumps or liquid elevators	42124200
42124210-9	Parts of fuel, hand and concrete pumps	42124210
42124211-6	Parts of fuel pumps	42124211
42124212-3	Parts of hand pumps	42124212
42124213-0	Parts of concrete pumps	42124213
42124220-2	Parts of reciprocating positive-displacement pumps	42124220
42124221-9	Parts of hydraulic power packs	42124221
42124222-6	Parts of dosing pumps	42124222
42124230-5	Parts of rotary positive-displacement pumps	42124230
42124290-3	Parts of centrifugal pumps	42124290
42124300-7	Parts of air or vacuum pumps, of air or gas compressors	42124300
42124310-0	Parts of air pumps	42124310
42124320-3	Parts of vacuum pumps	42124320
42124330-6	Parts of air compressors	42124330
42124340-9	Parts of gas compressors	42124340
42130000-9	Taps, cocks, valves and similar appliances	42130000
42131000-6	Taps, cocks and valves	42131000
42131100-7	Valves defined by function	42131100
42131110-0	Central-heating radiator valves	42131110
42131120-3	Sluice valves	42131120
42131130-6	Temperature regulators	42131130
42131140-9	Pressure-reducing, control, check or safety valves	42131140
42131141-6	Pressure-reducing valves	42131141
42131142-3	Control valves	42131142
42131143-0	Flood-control valves	42131143
42131144-7	Process-control valves	42131144
42131145-4	Check valves	42131145
42131146-1	Non-return valves	42131146
42131147-8	Safety valves	42131147
42131148-5	Stop valves	42131148
42131150-2	Standpipe valves	42131150
42131160-5	Hydrants	42131160
42131170-8	Gas-cylinder outlet valves	42131170
42131200-8	Valves defined by construction	42131200
42131210-1	Knife valves	42131210
42131220-4	Penstock valves	42131220
42131230-7	Gate valves	42131230
42131240-0	Globe valves	42131240
42131250-3	Needle valves	42131250
42131260-6	Ball valves	42131260
42131270-9	Plug valves	42131270
42131280-2	Butterfly valves	42131280
42131290-5	Diaphragm valves	42131290
42131291-2	Sliding valves	42131291
42131292-9	Flap valves	42131292
42131300-9	Christmas trees and other assemblies of valves	42131300
42131310-2	Oilrig Christmas trees	42131310
42131320-5	Choke manifolds	42131320
42131390-6	Assemblies of valves	42131390
42131400-0	Sanitary taps, cocks	42131400
42132000-3	Parts of taps and valves	42132000
42132100-4	Valve actuators	42132100
42132110-7	Electric valve actuators	42132110
42132120-0	Hydraulic valve actuators	42132120
42132130-3	Pneumatic valve actuators	42132130
42132200-5	Tap parts	42132200
42132300-6	Valve parts	42132300
42140000-2	Gears, gearing and driving elements	42140000
42141000-9	Plain gears, gearing and driving elements	42141000
42141100-0	Transmission, cam- and crank- shafts	42141100
42141110-3	Transmission shafts	42141110
42141120-6	Camshafts	42141120
42141130-9	Crankshafts	42141130
42141200-1	Bearing housings	42141200
42141300-2	Gears and gearing	42141300
42141400-3	Flywheels and pulleys	42141400
42141410-6	Winches	42141410
42141500-4	Clutches	42141500
42141600-5	Pulley blocks	42141600
42141700-6	Shaft couplings	42141700
42141800-7	Universal joints	42141800
42142000-6	Parts of gearing and driving elements	42142000
42142100-7	Parts of gearing elements	42142100
42142200-8	Parts of driving elements	42142200
42150000-5	Nuclear reactors and parts	42150000
42151000-2	Nuclear reactors	42151000
42152000-9	Parts of nuclear reactors	42152000
42152100-0	Reactor-cooling systems	42152100
42152200-1	Parts of nuclear-reactor vessels	42152200
42160000-8	Boiler installations	42160000
42161000-5	Hot-water boilers	42161000
42162000-2	Steam-generating boilers	42162000
42163000-9	Steam generators	42163000
42164000-6	Auxiliary plant for use with boilers	42164000
42165000-3	Steam condensers	42165000
42200000-8	Machinery for food, beverage and tobacco processing and associated parts	42200000
42210000-1	Food, beverage and tobacco-processing machinery	42210000
42211000-8	Dairy machinery	42211000
42211100-9	Centrifugal cream separators	42211100
42212000-5	Machinery for processing cereals or dried vegetables	42212000
42213000-2	Machinery used in the manufacture of alcoholic or fruit beverages	42213000
42214000-9	Cooking ovens, dryers for agricultural products and equipment for cooking or heating	42214000
42214100-0	Cooking ovens	42214100
42214110-3	Grills	42214110
42214200-1	Dryers for agricultural products	42214200
42215000-6	Machinery for the industrial preparation or manufacture of food or drink	42215000
42215100-7	Food-cutting machines	42215100
42215110-0	Bread-slicing machines	42215110
42215120-3	Bacon slicers	42215120
42215200-8	Food-processing machinery	42215200
42215300-9	Pasta-making machines	42215300
42216000-3	Machinery for processing tobacco	42216000
42220000-4	Parts of machinery for food, beverage and tobacco processing	42220000
42221000-1	Parts of machinery for food processing	42221000
42221100-2	Parts of dairy machinery	42221100
42221110-5	Parts of milking machines	42221110
42222000-8	Parts of machinery for beverage processing	42222000
42223000-5	Parts of machinery for tobacco processing	42223000
42300000-9	Industrial or laboratory furnaces, incinerators and ovens	42300000
42310000-2	Furnace burners	42310000
42320000-5	Waste incinerators	42320000
42330000-8	Smelting furnaces	42330000
42340000-1	Non-domestic ovens	42340000
42341000-8	Commercial ovens	42341000
42350000-4	Cremators	42350000
42390000-6	Parts of furnace burners, furnaces or ovens	42390000
42400000-0	Lifting and handling equipment and parts	42400000
42410000-3	Lifting and handling equipment	42410000
42411000-0	Pulley tackle and hoists	42411000
42412000-7	Pithead winding gear, winches for underground use, and capstans	42412000
42412100-8	Pithead winding gear and winches for use underground	42412100
42412110-1	Pithead winding gear	42412110
42412120-4	Winches for use underground	42412120
42412200-9	Capstans	42412200
42413000-4	Jacks and vehicle hoists	42413000
42413100-5	Built-in jacking systems	42413100
42413200-6	Hydraulic jacks	42413200
42413300-7	Pneumatic jacks	42413300
42413400-8	Mechanical jacks	42413400
42413500-9	Vehicle hoists	42413500
42414000-1	Cranes, mobile lifting frames and works trucks fitted with a crane	42414000
42414100-2	Cranes	42414100
42414110-5	Harbour cranes	42414110
42414120-8	Quayside cranes	42414120
42414130-1	Stacker cranes	42414130
42414140-4	Container cranes	42414140
42414150-7	Tower cranes	42414150
42414200-3	Overhead travelling cranes	42414200
42414210-6	Travelling crane	42414210
42414220-9	Traversing bridge	42414220
42414300-4	Portal jib cranes	42414300
42414310-7	Mobile lifting frames	42414310
42414320-0	Pedestal jib cranes	42414320
42414400-5	Vehicle-mounted cranes	42414400
42414410-8	Cranes for trucks	42414410
42414500-6	Bridge cranes	42414500
42415000-8	Forklift trucks, works trucks, railway-station platforms tractors	42415000
42415100-9	Lifting trucks	42415100
42415110-2	Forklift trucks	42415110
42415200-0	Works trucks	42415200
42415210-3	Works trucks fitted with handling equipment	42415210
42415300-1	Railway-station platforms tractors	42415300
42415310-4	Free-steered vehicles (FSVS)	42415310
42415320-7	Equipment for emergency vehicles	42415320
42416000-5	Lifts, skip hoists, hoists, escalators and moving walkways	42416000
42416100-6	Lifts	42416100
42416110-9	Bath lifts	42416110
42416120-2	Goods lifts	42416120
42416130-5	Mechanical lifts	42416130
42416200-7	Skip hoists	42416200
42416210-0	Bin-lifts	42416210
42416300-8	Hoists	42416300
42416400-9	Escalators	42416400
42416500-0	Moving walkways	42416500
42417000-2	Elevators and conveyors	42417000
42417100-3	Pneumatic elevators or conveyors	42417100
42417200-4	Conveyors	42417200
42417210-7	Bucket-type, continuous-action elevators or conveyors	42417210
42417220-0	Belt-type continuous-action elevators or conveyors	42417220
42417230-3	Armoured-faced conveyors (AFCS) for mining	42417230
42417300-5	Conveyor equipment	42417300
42417310-8	Conveyor belts	42417310
42418000-9	Lifting, handling, loading or unloading machinery	42418000
42418100-0	Mine-wagon pushers and locomotive or wagon traversers	42418100
42418200-1	Monorail or ski-lift equipment	42418200
42418210-4	Overhead monorail equipment	42418210
42418220-7	Chairlifts	42418220
42418290-8	Ski-lift equipment	42418290
42418300-2	Flare tip removal equipment	42418300
42418400-3	Carousel storage and retrieval machines	42418400
42418500-4	Mechanical handling equipment	42418500
42418900-8	Loading or handling machinery	42418900
42418910-1	Loading equipment	42418910
42418920-4	Unloading equipment	42418920
42418930-7	Sideloaders	42418930
42418940-0	Container-handling equipment	42418940
42419000-6	Parts of lifting and handling equipment	42419000
42419100-7	Parts of cranes	42419100
42419200-8	Parts of works trucks	42419200
42419500-1	Parts of lift, skip hoists or escalators	42419500
42419510-4	Parts of lifts	42419510
42419520-7	Parts of skip hoists	42419520
42419530-0	Parts of escalators	42419530
42419540-3	Parts of moving walkways	42419540
42419800-4	Parts of conveyors	42419800
42419810-7	Parts of belt conveyors	42419810
42419890-1	Parts of bucket conveyors	42419890
42419900-5	Parts of winding gear and other lifting or handling equipment	42419900
42420000-6	Buckets, shovels, grabs and grips for cranes or excavators	42420000
42500000-1	Cooling and ventilation equipment	42500000
42510000-4	Heat-exchange units, air-conditioning and refrigerating equipment, and filtering machinery	42510000
42511000-1	Heat-exchange units and machinery for liquefying air or other gases	42511000
42511100-2	Heat-exchange units	42511100
42511110-5	Heat pumps	42511110
42511200-3	Machinery for liquefying air or other gases	42511200
42512000-8	Air-conditioning installations	42512000
42512100-9	Window air-conditioning machines	42512100
42512200-0	Wall air-conditioning machines	42512200
42512300-1	HVAC packages	42512300
42512400-2	Vehicle air conditioners	42512400
42512500-3	Parts of air-conditioning machines	42512500
42512510-6	Dampers	42512510
42512520-9	Louvres	42512520
42513000-5	Refrigerating and freezing equipment	42513000
42513100-6	Freezing equipment	42513100
42513200-7	Refrigerating equipment	42513200
42513210-0	Refrigerated showcases	42513210
42513220-3	Refrigerated counters	42513220
42513290-4	Commercial refrigerating equipment	42513290
42514000-2	Machinery and apparatus for filtering or purifying gases	42514000
42514200-4	Electrostatic air and gas cleaners	42514200
42514300-5	Filtering apparatus	42514300
42514310-8	Air filters	42514310
42514320-1	Gas filters	42514320
42515000-9	District heating boiler	42515000
42520000-7	Ventilation equipment	42520000
42521000-4	Smoke-extraction equipment	42521000
42522000-1	Non-domestic fans	42522000
42522100-2	Parts of fans	42522100
42530000-0	Parts of refrigerating and freezing equipment and heat pumps	42530000
42531000-7	Parts of refrigerating equipment	42531000
42532000-4	Parts of freezing equipment	42532000
42533000-1	Parts of heat pumps	42533000
42600000-2	Machine tools	42600000
42610000-5	Machine tools operated by laser and machining centres	42610000
42611000-2	Special-purpose machine tools	42611000
42612000-9	Machining centre	42612000
42612100-0	Horizontal-spindle machining centre	42612100
42612200-1	Vertical-spindle machining centre	42612200
42620000-8	Lathes, boring and milling machine tools	42620000
42621000-5	Lathes	42621000
42621100-6	CNC lathe	42621100
42622000-2	Threading or tapping machines	42622000
42623000-9	Milling machines	42623000
42630000-1	Metal-working machine tools	42630000
42631000-8	Machine tools for finishing metals	42631000
42632000-5	Numerically-controlled machines for metal	42632000
42633000-2	Bending, folding, straightening or flattening machines	42633000
42634000-9	Forging machines	42634000
42635000-6	Die-stamping machines	42635000
42636000-3	Presses	42636000
42636100-4	Hydraulic presses	42636100
42637000-0	Machine tools for drilling, boring or milling metal	42637000
42637100-1	Machine tools for drilling metal	42637100
42637200-2	Machine tools for boring metal	42637200
42637300-3	Machine tools for milling metal	42637300
42638000-7	Metal-working machining centre	42638000
42640000-4	Machine tools for working hard materials except metals	42640000
42641000-1	Machine tools for working stone, ceramics, concrete or glass	42641000
42641100-2	Machine tools for working stone	42641100
42641200-3	Machine tools for working ceramics	42641200
42641300-4	Machine tools for working concrete	42641300
42641400-5	Machine tools for working glass	42641400
42642000-8	Machine tools for working wood, bone, cork, hard rubber or hard plastics	42642000
42642100-9	Machine tools for working wood	42642100
42642200-0	Machine tools for working bone	42642200
42642300-1	Machine tools for working cork	42642300
42642400-2	Machine tools for working hard rubber	42642400
42642500-3	Machine tools for working hard plastics	42642500
42650000-7	Pneumatic or motorised hand tools	42650000
42651000-4	Pneumatic hand tools	42651000
42652000-1	Hand-held electromechanical tools	42652000
42660000-0	Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment	42660000
42661000-7	Soldering and brazing equipment	42661000
42661100-8	Soldering equipment	42661100
42661200-9	Brazing equipment	42661200
42662000-4	Welding equipment	42662000
